"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;3;0;0;0;11/03/2021
Hovedstaden;0-9;240;0;0;1;11/03/2021
Midtjylland;0-9;73;0;0;0;11/03/2021
Nordjylland;0-9;6;0;0;0;11/03/2021
Sjælland;0-9;66;0;0;0;11/03/2021
Syddanmark;0-9;151;0;0;0;11/03/2021
;10-19;2;0;0;0;11/03/2021
Hovedstaden;10-19;261;0;1;1;11/03/2021
Midtjylland;10-19;118;0;0;1;11/03/2021
Nordjylland;10-19;40;0;0;0;11/03/2021
Sjælland;10-19;93;0;0;0;11/03/2021
Syddanmark;10-19;194;0;0;2;11/03/2021
;20-29;19;0;0;0;11/03/2021
Hovedstaden;20-29;292;0;0;7;11/03/2021
Midtjylland;20-29;183;0;0;0;11/03/2021
Nordjylland;20-29;62;0;0;0;11/03/2021
Sjælland;20-29;72;0;0;0;11/03/2021
Syddanmark;20-29;188;0;0;2;11/03/2021
;30-39;22;0;1;2;11/03/2021
Hovedstaden;30-39;282;0;5;5;11/03/2021
Midtjylland;30-39;129;0;0;2;11/03/2021
Nordjylland;30-39;41;0;0;0;11/03/2021
Sjælland;30-39;86;0;1;1;11/03/2021
Syddanmark;30-39;135;0;0;1;11/03/2021
;40-49;22;0;1;1;11/03/2021
Hovedstaden;40-49;268;0;2;5;11/03/2021
Midtjylland;40-49;118;0;1;1;11/03/2021
Nordjylland;40-49;37;0;0;0;11/03/2021
Sjælland;40-49;120;0;0;1;11/03/2021
Syddanmark;40-49;140;0;4;4;11/03/2021
;50-59;11;0;0;1;11/03/2021
Hovedstaden;50-59;242;0;0;3;11/03/2021
Midtjylland;50-59;122;0;1;4;11/03/2021
Nordjylland;50-59;38;0;0;1;11/03/2021
Sjælland;50-59;91;0;1;2;11/03/2021
Syddanmark;50-59;134;0;3;3;11/03/2021
;60-69;3;0;0;0;11/03/2021
Hovedstaden;60-69;122;0;4;8;11/03/2021
Midtjylland;60-69;94;0;0;0;11/03/2021
Nordjylland;60-69;28;0;0;0;11/03/2021
Sjælland;60-69;63;0;3;5;11/03/2021
Syddanmark;60-69;79;0;1;1;11/03/2021
;70-79;2;0;0;0;11/03/2021
Hovedstaden;70-79;68;0;2;9;11/03/2021
Midtjylland;70-79;42;0;0;0;11/03/2021
Nordjylland;70-79;12;0;0;0;11/03/2021
Sjælland;70-79;42;0;3;5;11/03/2021
Syddanmark;70-79;26;0;4;6;11/03/2021
Hovedstaden;80-89;32;0;3;7;11/03/2021
Midtjylland;80-89;10;0;0;0;11/03/2021
Nordjylland;80-89;2;0;0;0;11/03/2021
Sjælland;80-89;15;1;4;6;11/03/2021
Syddanmark;80-89;6;1;1;2;11/03/2021
Hovedstaden;90+;2;0;0;1;11/03/2021
Sjælland;90+;3;0;2;2;11/03/2021
Syddanmark;90+;2;0;0;0;11/03/2021
